,,,,,,g,g,,R,,R,R,R,R,,o,,,,,
,,,,,,g,g,,R,,o,R,R,o,,,,,,,
,,,,,,g,g,,R,,,,,,,,,,,,
,,,,,,o,o,o,o,o,o,o,o,o,o,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,o,,,,,
,,,,,,,,,,,,,,,R,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,o,,R,,,,,,,,,,,,,,,,
,,R,,,,,,,,R,,,,o,,,,,,,
R,,,,,,R,,,,o,,,,,,,,,,,
R,,,o,,,,,R,,o,,,,,,,,,,,
R,,,o,o,o,o,,,,,,,,,,,o,,,,
o,o,,,,,o,,o,,,R,o,o,R,,,,,,,
,,,,,,,o,d,,,,,,,,R,,,,,
,,,,,,,o,d,o,o,o,o,o,o,,R,,,,,
,,,,,,,,M,,,,,,,,R,,,,,
o,o,o,o,o,o,o,o,o,o,d,o,o,o,o,o,o,o,o,o,R,R
💀注意调整战斗姿态，keep patient,,,,,,,,,,,,,,,,,,,,,
